v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
1,9.52257601112577,52.3604090734199,substation,220000;110000,50,Hannover/West,TenneT;EON_Netz,,SRID=4326;POINT(9.52257601112577 52.3604090734199)
2,9.11321011483187,52.5438533448625,substation,220000,50,Umspannwerk Kraftwerk Robert Frank,TenneT,,SRID=4326;POINT(9.11321011483187 52.5438533448625)
3,9.38974515063535,52.0263130791669,substation,380000;110000,50,UW Grohnde 380 kV / 110 kV,TenneT,,SRID=4326;POINT(9.38974515063535 52.0263130791669)
4,9.12526574244048,52.5382641233458,substation,380000;220000,50,Landesbergen,TenneT TSO GmbH,,SRID=4326;POINT(9.12526574244048 52.5382641233458)
5,10.366274939217,52.2846467643429,substation,380000;220000,50,Wahle,TenneT,,SRID=4326;POINT(10.366274939217 52.2846467643429)
6,9.91814868737007,52.3799963378317,substation,220000;110000,50,TenneT TSO GmbH - Betriebszentrum Lehrte,TenneT_TSO,,SRID=4326;POINT(9.91814868737007 52.3799963378317)
7,9.9171797569037,52.2781686248742,substation,380000;110000,50,Algermissen,TenneT,,SRID=4326;POINT(9.9171797569037 52.2781686248742)
8,10.4149924241538,53.4126068813272,substation,380000;110000,,Krümmel,50Hertz,,SRID=4326;POINT(10.4149924241538 53.4126068813272)
9,10.3787706356666,53.2197927695925,substation,380000;110000,50,Lüneburg,EON_Netz,LUEN,SRID=4326;POINT(10.3787706356666 53.2197927695925)
10,12.9416466491702,52.5621144028949,substation,380000;220000;110000,,Wustermark,50Hertz Transmission GmbH;E.ON edis AG,Wu,SRID=4326;POINT(12.9416466491702 52.5621144028949)
11,13.2061030014846,52.6571363047161,substation,220000,50,Hennigsdorf,50Hertz Transmission,,SRID=4326;POINT(13.2061030014846 52.6571363047161)
12,13.709669749528,52.5397952998981,substation,380000;220000;110000,50,Neuenhagen,50Hertz Transmission GmbH,NHG TCC,SRID=4326;POINT(13.709669749528 52.5397952998981)
